"CODIGO_CLIENTE","Clt"
1484,"Si"
1627,"Si"
2726,"Si"
8020,"Si"
11065,"Si"
13533,"Si"
13919,"Si"
18614,"Si"
19267,"Si"
19286,"Si"
23507,"Si"
25009,"Si"
25965,"Si"
31776,"Si"
32272,"Si"
33215,"Si"
42599,"Si"
45714,"Si"
45779,"Si"
45867,"No"
46161,"Si"
47810,"Si"
52351,"No"
52963,"Si"
54160,"Si"
54363,"Si"
54568,"Si"
54895,"Si"
55604,"Si"
56831,"Si"
57262,"Si"
57273,"Si"
57503,"Si"
58345,"Si"
59106,"No"
61816,"Si"
62626,"No"
62916,"Si"
63035,"Si"
64493,"Si"
67416,"Si"
75838,"Si"
76760,"Si"
76833,"Si"
77862,"Si"
78120,"No"
78390,"No"
78745,"Si"
82725,"Si"
83668,"Si"
90219,"Si"
90423,"Si"
92555,"Si"
94480,"Si"
95860,"Si"
96386,"Si"
97786,"Si"
102524,"Si"
105879,"Si"
105931,"Si"
108228,"Si"
109887,"Si"
110980,"Si"
111869,"Si"
113359,"Si"
114483,"Si"
120871,"Si"
120927,"Si"
124703,"Si"
125371,"Si"
126710,"No"
130980,"Si"
140789,"Si"
142691,"No"
146122,"No"
155184,"Si"
155791,"Si"
156332,"Si"
165862,"No"
166398,"Si"
171624,"No"
172602,"Si"
174539,"Si"
175122,"Si"
178844,"Si"
179116,"Si"
180109,"Si"
180396,"Si"
183833,"Si"
185001,"Si"
189279,"Si"
200990,"Si"
201417,"Si"
209465,"No"
210540,"Si"
213488,"Si"
214775,"Si"
215163,"Si"
215372,"Si"
217726,"Si"
218102,"Si"
221623,"Si"
222883,"Si"
228172,"Si"
229033,"Si"
230976,"Si"
232584,"Si"
233423,"Si"
234828,"Si"
235924,"Si"
239260,"Si"
241066,"Si"
241535,"Si"
247475,"Si"
248519,"Si"
250885,"No"
251330,"Si"
253029,"Si"
255407,"Si"
255611,"Si"
256459,"Si"
259334,"Si"
260059,"Si"
260464,"Si"
264976,"Si"
265472,"Si"
267748,"Si"
268153,"Si"
268353,"Si"
269454,"Si"
270099,"Si"
270264,"Si"
274079,"Si"
274479,"Si"
275804,"Si"
276046,"Si"
276690,"Si"
280685,"Si"
282158,"Si"
283967,"Si"
284139,"No"
289838,"Si"
295247,"Si"
295307,"Si"
297555,"Si"
298134,"Si"
298569,"No"
298760,"Si"
300002,"Si"
301606,"Si"
303414,"No"
309109,"Si"
310018,"No"
310558,"Si"
311898,"Si"
313792,"Si"
313930,"Si"
314802,"Si"
318474,"Si"
320953,"Si"
321275,"Si"
322368,"No"
327470,"Si"
331082,"Si"
333090,"Si"
335425,"Si"
336297,"Si"
339639,"Si"
340193,"Si"
341995,"Si"
344891,"No"
345625,"Si"
345869,"Si"
347491,"No"
349064,"Si"
349160,"Si"
349914,"Si"
353297,"Si"
353477,"No"
353749,"No"
356036,"Si"
359739,"Si"
360858,"Si"
361028,"Si"
375443,"Si"
375792,"Si"
377139,"Si"
377702,"Si"
379494,"Si"
379802,"Si"
381952,"Si"
384284,"Si"
385391,"No"
385763,"No"
389729,"Si"
393924,"Si"
394113,"Si"
395898,"Si"
399815,"No"
401381,"Si"
405203,"Si"
409050,"Si"
413290,"Si"
413563,"Si"
413879,"Si"
415562,"No"
415592,"No"
417588,"Si"
417927,"Si"
417973,"Si"
421626,"Si"
422503,"No"
424124,"No"
424419,"Si"
424435,"No"
425666,"Si"
425950,"Si"
428293,"Si"
430085,"Si"
430882,"Si"
431648,"Si"
433487,"Si"
434873,"Si"
434962,"Si"
435038,"Si"
435761,"Si"
440887,"Si"
442733,"No"
443670,"No"
447108,"Si"
447549,"Si"
449051,"Si"
449630,"Si"
449964,"Si"
449970,"Si"
450587,"Si"
452329,"Si"
452530,"Si"
456854,"Si"
457900,"Si"
460543,"Si"
460870,"Si"
461992,"Si"
462062,"Si"
468360,"Si"
470750,"Si"
471591,"Si"
471975,"Si"
474379,"Si"
476308,"Si"
479314,"No"
481993,"Si"
482651,"Si"
485921,"Si"
486440,"Si"
486634,"Si"
488023,"Si"
490197,"Si"
490516,"Si"
492928,"Si"
493257,"Si"
494318,"No"
503400,"Si"
506389,"Si"
508660,"Si"
510672,"Si"
510876,"Si"
511463,"Si"
515292,"Si"
516394,"Si"
517233,"Si"
518487,"Si"
522893,"Si"
524851,"Si"
526351,"Si"
526980,"Si"
530584,"Si"
532943,"No"
537043,"No"
537316,"Si"
538088,"Si"
538669,"Si"
542005,"Si"
542727,"Si"
545210,"Si"
548035,"No"
552610,"Si"
554168,"Si"
554356,"Si"
554944,"Si"
558044,"Si"
559054,"Si"
561874,"No"
563778,"Si"
564495,"Si"
567955,"Si"
568266,"Si"
570248,"Si"
570509,"No"
571704,"Si"
572919,"No"
573364,"Si"
573414,"Si"
577768,"Si"
577815,"Si"
581012,"Si"
582086,"Si"
585792,"Si"
588013,"Si"
589305,"Si"
589786,"Si"
590396,"Si"
591758,"Si"
592161,"Si"
594313,"Si"
596172,"Si"
597457,"Si"
599790,"Si"
599892,"Si"
601895,"No"
602958,"No"
604874,"Si"
608367,"Si"
609120,"Si"
613345,"Si"
614535,"Si"
616537,"Si"
617214,"Si"
617440,"Si"
617698,"Si"
628276,"Si"
637194,"Si"
638188,"Si"
641313,"No"
642449,"Si"
642786,"Si"
643558,"Si"
648781,"Si"
651643,"Si"
655088,"Si"
655746,"Si"
656830,"Si"
657770,"Si"
659616,"Si"
663457,"Si"
664309,"Si"
668250,"Si"
670426,"Si"
670614,"Si"
673825,"Si"
676819,"Si"
681478,"Si"
682088,"Si"
683105,"Si"
686076,"Si"
688819,"Si"
690260,"Si"
692466,"No"
694104,"Si"
694447,"Si"
695352,"No"
698078,"Si"
699130,"Si"
701055,"Si"
701090,"Si"
701792,"Si"
703716,"Si"
711365,"No"
713539,"No"
713545,"Si"
715760,"Si"
720950,"Si"
721948,"Si"
724723,"Si"
725193,"Si"
728935,"Si"
732938,"Si"
733356,"Si"
733446,"No"
733531,"Si"
738882,"No"
740366,"Si"
741081,"Si"
741827,"Si"
742717,"Si"
744742,"Si"
745096,"Si"
747746,"Si"
750092,"Si"
752844,"Si"
753486,"Si"
757594,"Si"
760958,"Si"
763762,"Si"
764522,"Si"
764910,"No"
765916,"Si"
766635,"Si"
771410,"No"
772701,"Si"
773001,"No"
773582,"Si"
773925,"Si"
777012,"Si"
777413,"No"
786106,"Si"
786266,"Si"
791108,"Si"
794248,"Si"
798933,"Si"
800787,"Si"
802980,"Si"
804142,"Si"
805947,"Si"
809050,"Si"
809450,"Si"
810668,"No"
810846,"Si"
813383,"Si"
815063,"Si"
819896,"Si"
820569,"Si"
823176,"No"
824898,"Si"
828700,"No"
828723,"Si"
829384,"Si"
829453,"Si"
829567,"Si"
832048,"Si"
832128,"No"
833592,"Si"
838455,"Si"
841211,"Si"
843558,"Si"
844057,"Si"
846071,"Si"
853966,"Si"
855733,"Si"
857805,"Si"
859115,"Si"
860694,"Si"
862269,"Si"
862359,"Si"
865847,"Si"
869918,"No"
871137,"Si"
871325,"Si"
871833,"Si"
873786,"Si"
876669,"Si"
877452,"Si"
879458,"Si"
881586,"Si"
883629,"Si"
885793,"Si"
885892,"Si"
887491,"Si"
888684,"Si"
888719,"Si"
893801,"Si"
894042,"Si"
894901,"Si"
895425,"Si"
898039,"Si"
901550,"Si"
906325,"Si"
907783,"Si"
908562,"Si"
913154,"Si"
913361,"No"
917174,"Si"
918305,"Si"
918796,"Si"
919608,"Si"
927266,"Si"
927572,"Si"
928237,"Si"
930153,"Si"
930375,"Si"
931034,"Si"
934394,"Si"
935295,"Si"
936805,"Si"
937205,"Si"
937351,"No"
939612,"Si"
940959,"No"
942940,"Si"
944051,"No"
948129,"Si"
950229,"Si"
952786,"Si"
955752,"Si"
956522,"Si"
958042,"Si"
958638,"Si"
959898,"Si"
969999,"Si"
971088,"No"
974388,"Si"
976605,"Si"
976629,"Si"
979122,"No"
979454,"Si"
980309,"Si"
981051,"Si"
982005,"Si"
984730,"Si"
986557,"Si"
987710,"Si"
991834,"Si"
993790,"Si"
994399,"Si"
996458,"Si"
997035,"Si"
1002455,"Si"
1003083,"Si"
1004161,"No"
1004996,"Si"
1006698,"Si"
1008255,"Si"
1009032,"No"
1012413,"Si"
1014688,"Si"
1017647,"Si"
1019527,"Si"
1023551,"Si"
1026430,"Si"
1027128,"No"
1027950,"Si"
1028308,"Si"
1030526,"Si"
1032056,"Si"
1032460,"Si"
1035216,"Si"
1042965,"Si"
1043055,"No"
1044205,"Si"
1045293,"Si"
1049118,"Si"
1049443,"Si"
1049537,"Si"
1051325,"Si"
1054099,"Si"
1054172,"Si"
1054333,"Si"
1054986,"Si"
1056519,"No"
1056802,"Si"
1057938,"Si"
1059671,"Si"
