PC1,CODIGO_CLIENTE
-0.990049675,98268976
-0.990049675,80809614
-0.990049675,9989586
1.095315946,92495150
-0.990049675,84151926
1.095315946,7015462
1.095315946,61303806
-0.990049675,97060524
-0.990049675,96044784
-0.990049675,43580642
-0.990049675,76327570
1.095315946,47394512
1.095315946,32673519
-0.990049675,56985683
-0.990049675,5386907
1.095315946,87730281
1.095315946,84608572
-0.990049675,12637220
-0.990049675,7463439
-0.990049675,65717974
-0.990049675,57449729
1.095315946,27322781
-0.990049675,28569111
-0.990049675,3183474
1.095315946,95493976
-0.990049675,63186585
1.095315946,49359483
-0.990049675,60608789
1.095315946,97254160
-0.990049675,26210563
-0.990049675,14421513
1.095315946,35781799
-0.990049675,79131690
-0.990049675,56844783
-0.990049675,65267636
-0.990049675,16923179
-0.990049675,33293448
1.095315946,31667291
-0.990049675,59682487
-0.990049675,25587376
-0.990049675,4514451
0.230415029,72000268
1.095315946,68470273
-0.990049675,3696809
-0.990049675,1337299
-0.990049675,45318511
-0.990049675,43800858
-0.990049675,99832071
1.095315946,88262925
-0.990049675,41354585
-0.990049675,80387295
-0.990049675,78139110
1.095315946,17401514
1.095315946,45912065
-0.990049675,86614767
-0.990049675,40138528
-0.990049675,67814939
-0.990049675,85047575
1.095315946,53292122
-0.990049675,85485848
-0.990049675,75513379
5.508139685,65936659
-0.990049675,20470245
-0.990049675,78885728
1.095315946,68090885
1.095315946,84861950
-0.990049675,60862407
-0.990049675,12459935
-0.990049675,11809949
-0.990049675,97741345
5.437685231,6370195
-0.990049675,73536528
-0.990049675,58525222
1.095315946,92655988
-0.990049675,57226460
1.095315946,85760617
-0.990049675,9083735
-0.990049675,11910368
-0.990049675,87383378
-0.990049675,96131849
1.095315946,23297439
-0.990049675,80658467
1.095315946,76609817
-0.990049675,26148261
1.095315946,76445079
-0.990049675,42073201
1.095315946,22106812
1.095315946,90963761
-0.990049675,85058322
1.095315946,86095094
1.095315946,44019922
-0.990049675,31751555
-0.990049675,68661837
-0.990049675,33251948
-0.990049675,68627398
-0.990049675,50382333
